# -log(1-Mr/M*)    X_O        X_C        X_He       X_H         B          N^2
     0.000000   0.900000   0.100000   0.000000   0.000000   0.000000   0.13178E-05
     0.000002   0.900000   0.100000   0.000000   0.000000   0.000000   0.15366E-05
     0.000005   0.900000   0.100000   0.000000   0.000000   0.000000   0.17916E-05
     0.000009   0.900000   0.100000   0.000000   0.000000   0.000000   0.20890E-05
     0.000014   0.900000   0.100000   0.000000   0.000000   0.000000   0.24357E-05
     0.000019   0.900000   0.100000   0.000000   0.000000   0.000000   0.28401E-05
     0.000027   0.900000   0.100000   0.000000   0.000000   0.000000   0.33115E-05
     0.000036   0.900000   0.100000   0.000000   0.000000   0.000000   0.38612E-05
     0.000048   0.900000   0.100000   0.000000   0.000000   0.000000   0.45021E-05
     0.000062   0.900000   0.100000   0.000000   0.000000   0.000000   0.52496E-05
     0.000081   0.900000   0.100000   0.000000   0.000000   0.000000   0.61212E-05
     0.000104   0.900000   0.100000   0.000000   0.000000   0.000000   0.71375E-05
     0.000133   0.900000   0.100000   0.000000   0.000000   0.000000   0.83228E-05
     0.000170   0.900000   0.100000   0.000000   0.000000   0.000000   0.97052E-05
     0.000216   0.900000   0.100000   0.000000   0.000000   0.000000   0.11317E-04
     0.000274   0.900000   0.100000   0.000000   0.000000   0.000000   0.13198E-04
     0.000348   0.900000   0.100000   0.000000   0.000000   0.000000   0.15391E-04
     0.000440   0.900000   0.100000   0.000000   0.000000   0.000000   0.17950E-04
     0.000557   0.900000   0.100000   0.000000   0.000000   0.000000   0.20934E-04
     0.000703   0.900000   0.100000   0.000000   0.000000   0.000000   0.24417E-04
     0.000888   0.900000   0.100000   0.000000   0.000000   0.000000   0.28481E-04
     0.001120   0.900000   0.100000   0.000000   0.000000   0.000000   0.33223E-04
     0.001413   0.900000   0.100000   0.000000   0.000000   0.000000   0.38759E-04
     0.001782   0.900000   0.100000   0.000000   0.000000   0.000000   0.45222E-04
     0.002247   0.900000   0.100000   0.000000   0.000000   0.000000   0.52769E-04
     0.002833   0.900000   0.100000   0.000000   0.000000   0.000000   0.61585E-04
     0.003573   0.900000   0.100000   0.000000   0.000000   0.000000   0.71887E-04
     0.004505   0.900000   0.100000   0.000000   0.000000   0.000000   0.83931E-04
     0.005681   0.900000   0.100000   0.000000   0.000000   0.000000   0.98019E-04
     0.007167   0.900000   0.100000   0.000000   0.000000   0.000000   0.11451E-03
     0.009045   0.900000   0.100000   0.000000   0.000000   0.000000   0.13382E-03
     0.011420   0.900000   0.100000   0.000000   0.000000   0.000000   0.15647E-03
     0.014429   0.900000   0.100000   0.000000   0.000000   0.000000   0.18306E-03
     0.018248   0.900000   0.100000   0.000000   0.000000   0.000000   0.21433E-03
     0.023104   0.900000   0.100000   0.000000   0.000000   0.000000   0.25118E-03
     0.029297   0.900000   0.100000   0.000000   0.000000   0.000000   0.29472E-03
     0.037221   0.900000   0.100000   0.000000   0.000000   0.000000   0.34637E-03
     0.047410   0.900000   0.100000   0.000000   0.000000   0.000000   0.36511E-03
     0.051302   0.900000   0.100000   0.000000   0.000000   0.000000   0.38354E-03
     0.055229   0.900000   0.100000   0.000000   0.000000   0.000000   0.40171E-03
     0.059192   0.900000   0.100000   0.000000   0.000000   0.000000   0.41965E-03
     0.063191   0.900000   0.100000   0.000000   0.000000   0.000000   0.43743E-03
     0.067228   0.899999   0.100001   0.000000   0.000000   0.000000   0.45529E-03
     0.071302   0.899996   0.100004   0.000000   0.000000   0.000000   0.47438E-03
